class,filename,height,width,xmax,xmin,ymax,ymin
head,04_00000.jpg,76,76,192,116,99,23
head,04_00001.jpg,76,76,192,116,99,23
head,04_00002.jpg,76,76,193,117,100,24
head,04_00003.jpg,76,76,195,119,107,31
head,04_00004.jpg,76,76,196,120,111,35
head,04_00005.jpg,76,76,189,113,118,42
head,04_00006.jpg,76,76,182,106,124,48
head,04_00007.jpg,76,76,178,102,128,52
head,04_00008.jpg,76,76,174,98,136,60
head,04_00009.jpg,76,76,173,97,141,65
head,04_00010.jpg,76,76,173,97,146,70
head,04_00011.jpg,76,76,174,98,148,72
head,04_00012.jpg,76,76,178,102,153,77
head,04_00013.jpg,76,76,182,106,156,80
head,04_00014.jpg,76,76,182,106,151,75
head,04_00015.jpg,76,76,180,104,150,74
head,04_00016.jpg,76,76,183,107,151,75
head,04_00017.jpg,76,76,183,107,155,79
head,04_00018.jpg,76,76,183,107,158,82
head,04_00019.jpg,76,76,182,106,159,83
head,04_00020.jpg,76,76,181,105,159,83
head,04_00021.jpg,76,76,178,102,157,81
head,04_00022.jpg,76,76,177,101,152,76
head,04_00023.jpg,76,76,176,100,151,75
head,04_00024.jpg,76,76,175,99,150,74
head,04_00025.jpg,76,76,175,99,149,73
head,04_00026.jpg,76,76,176,100,146,70
head,04_00027.jpg,76,76,176,100,147,71
head,04_00028.jpg,76,76,176,100,145,69
head,04_00029.jpg,76,76,176,100,144,68
head,04_00030.jpg,76,76,176,100,143,67
head,04_00031.jpg,76,76,176,100,143,67
head,04_00032.jpg,76,76,175,99,143,67
head,04_00033.jpg,76,76,175,99,142,66
head,04_00034.jpg,76,76,176,100,142,66
head,04_00035.jpg,76,76,176,100,143,67
head,04_00036.jpg,76,76,176,100,143,67
head,04_00037.jpg,76,76,177,101,142,66
head,04_00038.jpg,76,76,177,101,143,67
head,04_00039.jpg,76,76,177,101,143,67
head,04_00040.jpg,76,76,178,102,140,64
head,04_00041.jpg,76,76,178,102,141,65
head,04_00042.jpg,76,76,178,102,142,66
head,04_00043.jpg,76,76,179,103,142,66
head,04_00044.jpg,76,76,178,102,142,66
head,04_00045.jpg,76,76,177,101,143,67
head,04_00046.jpg,76,76,179,103,142,66
head,04_00047.jpg,76,76,179,103,143,67
head,04_00048.jpg,76,76,178,102,143,67
head,04_00049.jpg,76,76,178,102,143,67
head,04_00050.jpg,76,76,177,101,143,67
head,04_00051.jpg,76,76,177,101,143,67
head,04_00052.jpg,76,76,178,102,142,66
head,04_00053.jpg,76,76,178,102,142,66
head,04_00054.jpg,76,76,178,102,142,66
head,04_00055.jpg,76,76,178,102,142,66
head,04_00056.jpg,76,76,178,102,143,67
head,04_00057.jpg,76,76,177,101,143,67
head,04_00058.jpg,76,76,177,101,143,67
