class,filename,height,width,xmax,xmin,ymax,ymin
head,04_00000.jpg,60,60,184,124,91,31
shoulder1,04_00000.jpg,76,76,130,104,73,47
shoulder2,04_00000.jpg,76,76,204,178,82,56
head,04_00001.jpg,60,60,184,124,91,31
shoulder1,04_00001.jpg,76,76,133,107,74,48
shoulder2,04_00001.jpg,76,76,204,178,82,56
head,04_00002.jpg,60,60,185,125,92,32
shoulder1,04_00002.jpg,76,76,135,109,75,49
shoulder2,04_00002.jpg,76,76,205,179,86,60
head,04_00003.jpg,60,60,187,127,99,39
shoulder1,04_00003.jpg,76,76,135,109,78,52
shoulder2,04_00003.jpg,76,76,207,181,88,62
head,04_00004.jpg,60,60,188,128,103,43
shoulder1,04_00004.jpg,76,76,135,109,82,56
shoulder2,04_00004.jpg,76,76,206,180,93,67
head,04_00005.jpg,60,60,181,121,110,50
shoulder1,04_00005.jpg,76,76,129,103,85,59
shoulder2,04_00005.jpg,76,76,202,176,96,70
head,04_00006.jpg,60,60,174,114,116,56
shoulder1,04_00006.jpg,76,76,124,98,89,63
shoulder2,04_00006.jpg,76,76,197,171,101,75
head,04_00007.jpg,60,60,170,110,120,60
shoulder1,04_00007.jpg,76,76,121,95,98,72
shoulder2,04_00007.jpg,76,76,194,168,103,77
head,04_00008.jpg,60,60,166,106,128,68
shoulder1,04_00008.jpg,76,76,120,94,101,75
shoulder2,04_00008.jpg,76,76,193,167,105,79
head,04_00009.jpg,60,60,165,105,133,73
shoulder1,04_00009.jpg,76,76,119,93,103,77
shoulder2,04_00009.jpg,76,76,193,167,107,81
head,04_00010.jpg,60,60,165,105,138,78
shoulder1,04_00010.jpg,76,76,119,93,104,78
shoulder2,04_00010.jpg,76,76,193,167,113,87
head,04_00011.jpg,60,60,166,106,140,80
shoulder1,04_00011.jpg,76,76,120,94,109,83
shoulder2,04_00011.jpg,76,76,194,168,117,91
head,04_00012.jpg,60,60,170,110,145,85
shoulder1,04_00012.jpg,76,76,122,96,112,86
shoulder2,04_00012.jpg,76,76,196,170,119,93
head,04_00013.jpg,60,60,174,114,148,88
shoulder1,04_00013.jpg,76,76,123,97,113,87
shoulder2,04_00013.jpg,76,76,197,171,120,94
head,04_00014.jpg,60,60,174,114,143,83
shoulder1,04_00014.jpg,76,76,121,95,113,87
shoulder2,04_00014.jpg,76,76,200,174,122,96
head,04_00015.jpg,60,60,172,112,142,82
shoulder1,04_00015.jpg,76,76,121,95,115,89
shoulder2,04_00015.jpg,76,76,200,174,122,96
head,04_00016.jpg,60,60,175,115,143,83
shoulder1,04_00016.jpg,76,76,122,96,116,90
shoulder2,04_00016.jpg,76,76,202,176,122,96
head,04_00017.jpg,60,60,175,115,147,87
shoulder1,04_00017.jpg,76,76,121,95,117,91
shoulder2,04_00017.jpg,76,76,203,177,123,97
head,04_00018.jpg,60,60,175,115,150,90
shoulder1,04_00018.jpg,76,76,121,95,117,91
shoulder2,04_00018.jpg,76,76,204,178,123,97
head,04_00019.jpg,60,60,174,114,151,91
shoulder1,04_00019.jpg,76,76,120,94,117,91
shoulder2,04_00019.jpg,76,76,203,177,123,97
head,04_00020.jpg,60,60,173,113,151,91
shoulder1,04_00020.jpg,76,76,119,93,116,90
shoulder2,04_00020.jpg,76,76,203,177,122,96
head,04_00021.jpg,60,60,170,110,149,89
shoulder1,04_00021.jpg,76,76,118,92,114,88
shoulder2,04_00021.jpg,76,76,201,175,121,95
head,04_00022.jpg,60,60,169,109,144,84
shoulder1,04_00022.jpg,76,76,117,91,113,87
shoulder2,04_00022.jpg,76,76,200,174,120,94
head,04_00023.jpg,60,60,168,108,143,83
shoulder1,04_00023.jpg,76,76,116,90,112,86
